0,1,2,3,4,5,6
Task,Description,Alan Davies,Desiree Burch,Guz Khan,Morgana Robinson,Victoria Coren Mitchell
Episode 1: An imbalance in the poppability. (23 September 2021),,,,,,
1,"Prize: The thing that if you put it in a bag and sat on it, it would feel the nicest.",4,5,1,2,3
2,"Strike Alex with a ball. Alex may not run, hide or leave the Taskmaster grounds. Fastest wins.",1,4,2,5,3
"Bonus for calling Alex a ""little fucker""",0,0,0,1,0,
3,Paint the most flattering picture of the Taskmaster in action on the canvas in the lab. The canvas will either be six inches or six feet above you. You must lie flat on your back on the creeper at all times. You must tell Alex if you want the canvas to be six inches or six feet above you within the next ten seconds.,4,3,5,2,1
4,Pop the balloon. You must stay behind the rope at all times. You must not move the rope. You may buy the tools you need with time. Fastest wins.,5,1,3,2,4
5,"Live: Write down a cool hobby, a fun animal and a famous person.",1,3,3,5,1
"Live: Strike a pose to represent first, your cool hobby, then your fun animal, then your famous person. You must hold your pose until the end of the round. The Taskmaster will attempt to guess what each pose represents. You may not make a noise or movement when posed.",,,,,,
Total,15,16,14,17,12,
Episode 2: Oatmeal and death. (30 September 2021),,,,,,
1,Prize: Most awesome square.,4,1,5,2,3
2,Team: Scale the mountain. Your attempt must last exactly five minutes and will be sped up by five times afterwards. Most thrilling ascent wins.,3,5,5,5,3
3,"Work out the contents of these bags. You may not open the bags. You can either ask Alex to make one tiny hole in each bag and have five minutes examination time during which you must eat at least one big spoonful from each bag, or ask Alex to put all the contents in a blender for one minute and then have ten minutes examination time during which eating is optional.",3,4,1,3,5
4,"Completely paint this space hopper green without making any mess. The entire space must be green. The entire space hopper must stay in the dome. When you are satisfied that you are finished, put your hands on your hips and bow deeply at your green space hopper. Fastest and least messy wins.",3,2,4,5,1
5,Live: Put on the medallion. You must not take off your jacket or break the box. Fastest wins.,3,4,5,2,1
Total,16,16,20,17,13,
Episode 3: The end of the franchise. (7 October 2021),,,,,,
1,Prize: Most old-fashioned thing that you still use.,3,5,4,2,1
2,"Copy Alex. Alex will demonstrate his actions twice, then you will have one attempt to copy Alex. Closest copy wins.",1,4,2,3,5
3,Make the highest sand bridge across the river. You may not leave the lab. Your sand bridge must support the egg and the egg must be able to pass under the sand bridge.,5,3,1,4,2
Bonus: Most extravagant sand bridge.,1,0,0,1,0,
4,Film the most thrilling 30-second sequence wearing the welly-cam.,2,5,3,4,3
5,Team Live: Correctly guess your teammate's object. Your teammate will represent their object through the medium of shadows on the screen. Fastest correct guess wins two actual points per round.,2,4,4,4,2
Total,14,21,14,18,13,
Episode 4: The customised inhaler. (14 October 2021),,,,,,
1,Prize: Best thing that has quite a few layers.,5,4,3,1,2
2,"Complete the course as slowly as possible. You must be riding the bicycle forwards within the limits of the course at all times. Every time you put a foot on the ground, the clock will be paused and your final time will be halved. If you leave the course or miss an instruction, your time will also be halved and the clock will be paused until you are back in position. Slowest wins.",4,5,3,1,2
3,Spread jam on a slice of toast in a really cool way. Coolest jam spreading wins.,4,2,5,2,3
4,Team: Solve the riddle. You must all stay in your rooms. Fastest wins.,5,2,2,2,5
"Bonus: Make one of your teammates say the word submarine. You may not say submarine at any point. If they think you've tried to make them say submarine, you lose two points.",-,-,-,2,-,
5,Live: Get the most forks in your bucket. You may only throw a fork after a full spin on your chair. You must stay sat in your chair at all times and you may not move your chair.,3,2,1,5,4
Total,21,15,14,13,16,
Episode 5: Croissants is croissants. (21 October 2021),,,,,,
1,Prize: Most elegant thing beginning with G.,4,1,5,3,2
2,Sit on a cake. Fastest wins.,2,4,3,1,5
Bonus: Best cake.,0,0,0,5,0,
3,"Team: Get the most balls in the net. Everyone must stay on their spots at all times. If anyone other than the task reader touches or handles a ball, you lose five balls from your ball total. Also, the person on the middle spot must sit for ten seconds and then stand up straight for ten seconds on repeat. Any balls remaining between the task reader and the middle person will be deducted from your ball total.",0,0,0,0,0
4,Prevent Alex from scoring a goal. The ball and goalpost must be on their spots when Alex attempts to score a goal. You must be 12 yards from the ball when Alex attempts to score. Slowest goal scored by Alex wins.,4,1,3,5,2
5,"Live: Pop the most balloons. You may pop between one and ten balloons each turn. If you pop one of the five bad balloons, you are disqualified. The eventual winner gets ten actual points.",4,2,10,3,1
Total,14,8,21,17,10,
Episode 6: A chair in a sweet. (28 October 2021),,,,,,
1,"Prize: Most desirable thing for the person below you in the alphabet, or the highest alphabetically if you're the lowest alphabetically.",2,5,3,4,1
2,Land the iron on the ironing board from the furthest distance. The ironing board must be standing at it's maximum height when the iron lands on it and the iron must remain on the ironing board for the attempt to count.,5,1,4,2,3
3,Make a cute toy for a cute dog. The dog will have five minutes with your cute toy. Most engaged dog wins.,3,1,5,4,2
4,"Sit on the red chair in the secret tower. You may only step on circles on your way. You may only stand on each circle once, unless it is black. You may stand on a black circle twice, but never twice in a row. Also you must put this task in the shredder within the first minute. If you fail for any reason, Alex will blow his whistle. Return everything to its starting position and you must start again. Fastest wins.",3,5,2,4,1
5,Live: Choose the number of sheets you want for the second part of the task. Each sheet will reduce your points total by five.,1,5,5,3,2
Live: Make paper aeroplanes. Your paper aeroplanes must look like aeroplanes. Most points wins.,,,,,,
Total,14,17,19,17,9,
Episode 7: The integrity of the product. (4 November 2021),,,,,,
1,Prize: Most ridiculous thin thing.,3,4,1,2,5
2,Put up a shelf for all the Taskmaster's snooker balls. All the Taskmaster's snooker balls must be at the Taskmaster's eyeline. Only the Taskmaster's snooker balls may be on the finished shelf. Fastest wins.,4,3,3,3,3
3,"Write and perform a 30-second jingle. You must reach into the barrel to find the subject of your jingle, then pop a balloon to discover the instrument that you must play under your jingle.",4,5,4,5,2
4,Either get the pipe through the box and everything in it then get the box and everything in it through the pipe or get the box and everything in it through the pipe then get the pipe through the box and everything in it. Fastest wins.,0,5,0,4,3
5,"Live: Each person must direct their fellow contestants to draw an image. The drawing director may only use the following words: line, circle, square, big, small, up, down, left, right, middle, please, bendy. At the end of one minute, the drawers must write down what they think the image is. The drawers will receive one point per correct guess. The drawing director will also receive one point per correct guess. Most points overall wins.",5,0,0,0,5
