,season,task_episode,task_description,task_contestant,task_score
0,Series 8,Episode 1: Hello. (8 May 2019),Prize: Most powerful smell.,Iain Stirling,2
1,Series 8,Episode 1: Hello. (8 May 2019),Prize: Most powerful smell.,Joe Thomas,1
2,Series 8,Episode 1: Hello. (8 May 2019),Prize: Most powerful smell.,Lou Sanders,5
3,Series 8,Episode 1: Hello. (8 May 2019),Prize: Most powerful smell.,Paul Sinha,3
4,Series 8,Episode 1: Hello. (8 May 2019),Prize: Most powerful smell.,Sian Gibson,3
5,Series 8,Episode 1: Hello. (8 May 2019),Find the receiver of the baby monitor attached to your helmet. You must keep your helmet on.,Iain Stirling,5
6,Series 8,Episode 1: Hello. (8 May 2019),Find the receiver of the baby monitor attached to your helmet. You must keep your helmet on.,Joe Thomas,3
7,Series 8,Episode 1: Hello. (8 May 2019),Find the receiver of the baby monitor attached to your helmet. You must keep your helmet on.,Lou Sanders,2
8,Series 8,Episode 1: Hello. (8 May 2019),Find the receiver of the baby monitor attached to your helmet. You must keep your helmet on.,Paul Sinha,1
9,Series 8,Episode 1: Hello. (8 May 2019),Find the receiver of the baby monitor attached to your helmet. You must keep your helmet on.,Sian Gibson,4
10,Series 8,Episode 1: Hello. (8 May 2019),Make a ventriloquist dummy and be chatted up by it.,Iain Stirling,5
11,Series 8,Episode 1: Hello. (8 May 2019),Make a ventriloquist dummy and be chatted up by it.,Joe Thomas,1
12,Series 8,Episode 1: Hello. (8 May 2019),Make a ventriloquist dummy and be chatted up by it.,Lou Sanders,4
13,Series 8,Episode 1: Hello. (8 May 2019),Make a ventriloquist dummy and be chatted up by it.,Paul Sinha,4
14,Series 8,Episode 1: Hello. (8 May 2019),Make a ventriloquist dummy and be chatted up by it.,Sian Gibson,4
15,Series 8,Episode 1: Hello. (8 May 2019),Sneak up on Alex. He will duck down and up every 10 seconds until you are spotted.,Iain Stirling,4
16,Series 8,Episode 1: Hello. (8 May 2019),Sneak up on Alex. He will duck down and up every 10 seconds until you are spotted.,Joe Thomas,5
17,Series 8,Episode 1: Hello. (8 May 2019),Sneak up on Alex. He will duck down and up every 10 seconds until you are spotted.,Lou Sanders,4
18,Series 8,Episode 1: Hello. (8 May 2019),Sneak up on Alex. He will duck down and up every 10 seconds until you are spotted.,Paul Sinha,1
19,Series 8,Episode 1: Hello. (8 May 2019),Sneak up on Alex. He will duck down and up every 10 seconds until you are spotted.,Sian Gibson,2
20,Series 8,Episode 1: Hello. (8 May 2019),Live: Collect the highest weight of doughnuts in your bucket. Your hands must stay on your hips.,Iain Stirling,4
21,Series 8,Episode 1: Hello. (8 May 2019),Live: Collect the highest weight of doughnuts in your bucket. Your hands must stay on your hips.,Joe Thomas,2
22,Series 8,Episode 1: Hello. (8 May 2019),Live: Collect the highest weight of doughnuts in your bucket. Your hands must stay on your hips.,Lou Sanders,5
23,Series 8,Episode 1: Hello. (8 May 2019),Live: Collect the highest weight of doughnuts in your bucket. Your hands must stay on your hips.,Paul Sinha,1
24,Series 8,Episode 1: Hello. (8 May 2019),Live: Collect the highest weight of doughnuts in your bucket. Your hands must stay on your hips.,Sian Gibson,3
25,Series 8,Episode 1: Hello. (8 May 2019),Peel a banana using your feet.,Iain Stirling,1
26,Series 8,Episode 1: Hello. (8 May 2019),Peel a banana using your feet.,Joe Thomas,0
27,Series 8,Episode 1: Hello. (8 May 2019),Peel a banana using your feet.,Lou Sanders,0
