,season,task_episode,task_description,task_contestant,task_score
0,Series 7,Episode 1: The mean bean. (5 September 2018),Prize: Thing most people want to touch.,James Acaster,2
1,Series 7,Episode 1: The mean bean. (5 September 2018),Prize: Thing most people want to touch.,Jessica Knappett,1
2,Series 7,Episode 1: The mean bean. (5 September 2018),Prize: Thing most people want to touch.,Kerry Godliman,2
3,Series 7,Episode 1: The mean bean. (5 September 2018),Prize: Thing most people want to touch.,Phil Wang,5
4,Series 7,Episode 1: The mean bean. (5 September 2018),Prize: Thing most people want to touch.,Rhod Gilbert,4
5,Series 7,Episode 1: The mean bean. (5 September 2018),Make the quickest and best quick-change outfit,James Acaster,2
6,Series 7,Episode 1: The mean bean. (5 September 2018),Make the quickest and best quick-change outfit,Jessica Knappett,4
7,Series 7,Episode 1: The mean bean. (5 September 2018),Make the quickest and best quick-change outfit,Kerry Godliman,5
8,Series 7,Episode 1: The mean bean. (5 September 2018),Make the quickest and best quick-change outfit,Phil Wang,1
9,Series 7,Episode 1: The mean bean. (5 September 2018),Make the quickest and best quick-change outfit,Rhod Gilbert,3
10,Series 7,Episode 1: The mean bean. (5 September 2018),Build the highest cardboard box tower.,James Acaster,1
11,Series 7,Episode 1: The mean bean. (5 September 2018),Build the highest cardboard box tower.,Jessica Knappett,3
12,Series 7,Episode 1: The mean bean. (5 September 2018),Build the highest cardboard box tower.,Kerry Godliman,4
13,Series 7,Episode 1: The mean bean. (5 September 2018),Build the highest cardboard box tower.,Phil Wang,2
14,Series 7,Episode 1: The mean bean. (5 September 2018),Build the highest cardboard box tower.,Rhod Gilbert,5
15,Series 7,Episode 1: The mean bean. (5 September 2018),Work out the circumference of a caravan in baked beans.,James Acaster,4
16,Series 7,Episode 1: The mean bean. (5 September 2018),Work out the circumference of a caravan in baked beans.,Jessica Knappett,3
17,Series 7,Episode 1: The mean bean. (5 September 2018),Work out the circumference of a caravan in baked beans.,Kerry Godliman,5
18,Series 7,Episode 1: The mean bean. (5 September 2018),Work out the circumference of a caravan in baked beans.,Phil Wang,1
19,Series 7,Episode 1: The mean bean. (5 September 2018),Work out the circumference of a caravan in baked beans.,Rhod Gilbert,2
20,Series 7,Episode 1: The mean bean. (5 September 2018),"Live: Make the most exotic fruit hat, you may only touch the fruit using the grabbers.",James Acaster,2
21,Series 7,Episode 1: The mean bean. (5 September 2018),"Live: Make the most exotic fruit hat, you may only touch the fruit using the grabbers.",Jessica Knappett,3
22,Series 7,Episode 1: The mean bean. (5 September 2018),"Live: Make the most exotic fruit hat, you may only touch the fruit using the grabbers.",Kerry Godliman,4
23,Series 7,Episode 1: The mean bean. (5 September 2018),"Live: Make the most exotic fruit hat, you may only touch the fruit using the grabbers.",Phil Wang,4
