,season,task_episode,task_description,task_contestant,task_score
0,Series 1,Episode 1: Melon buffet. (28 July 2015),Prize: Most unusual item.,Frank Skinner,4
1,Series 1,Episode 1: Melon buffet. (28 July 2015),Prize: Most unusual item.,Josh Widdicombe,1
2,Series 1,Episode 1: Melon buffet. (28 July 2015),Prize: Most unusual item.,Roisin Conaty,2
3,Series 1,Episode 1: Melon buffet. (28 July 2015),Prize: Most unusual item.,Romesh Ranganathan,3
4,Series 1,Episode 1: Melon buffet. (28 July 2015),Prize: Most unusual item.,Tim Key,5
5,Series 1,Episode 1: Melon buffet. (28 July 2015),Eat as much watermelon as possible in one minute.,Frank Skinner,2
6,Series 1,Episode 1: Melon buffet. (28 July 2015),Eat as much watermelon as possible in one minute.,Josh Widdicombe,3
7,Series 1,Episode 1: Melon buffet. (28 July 2015),Eat as much watermelon as possible in one minute.,Roisin Conaty,1
8,Series 1,Episode 1: Melon buffet. (28 July 2015),Eat as much watermelon as possible in one minute.,Romesh Ranganathan,5
9,Series 1,Episode 1: Melon buffet. (28 July 2015),Eat as much watermelon as possible in one minute.,Tim Key,4
10,Series 1,Episode 1: Melon buffet. (28 July 2015),Paint the best picture of a horse whilst riding a horse.,Frank Skinner,5
11,Series 1,Episode 1: Melon buffet. (28 July 2015),Paint the best picture of a horse whilst riding a horse.,Josh Widdicombe,3
12,Series 1,Episode 1: Melon buffet. (28 July 2015),Paint the best picture of a horse whilst riding a horse.,Roisin Conaty,1
13,Series 1,Episode 1: Melon buffet. (28 July 2015),Paint the best picture of a horse whilst riding a horse.,Romesh Ranganathan,4
14,Series 1,Episode 1: Melon buffet. (28 July 2015),Paint the best picture of a horse whilst riding a horse.,Tim Key,2
15,Series 1,Episode 1: Melon buffet. (28 July 2015),Completely empty this bathtub without removing the plug or tipping or damaging the bathtub.,Frank Skinner,4
16,Series 1,Episode 1: Melon buffet. (28 July 2015),Completely empty this bathtub without removing the plug or tipping or damaging the bathtub.,Josh Widdicombe,3
17,Series 1,Episode 1: Melon buffet. (28 July 2015),Completely empty this bathtub without removing the plug or tipping or damaging the bathtub.,Roisin Conaty,2
18,Series 1,Episode 1: Melon buffet. (28 July 2015),Completely empty this bathtub without removing the plug or tipping or damaging the bathtub.,Romesh Ranganathan,5
19,Series 1,Episode 1: Melon buffet. (28 July 2015),Completely empty this bathtub without removing the plug or tipping or damaging the bathtub.,Tim Key,1
20,Series 1,Episode 1: Melon buffet. (28 July 2015),Live: Pop on a onesie inside a pop-up tent.,Frank Skinner,4
21,Series 1,Episode 1: Melon buffet. (28 July 2015),Live: Pop on a onesie inside a pop-up tent.,Josh Widdicombe,3
22,Series 1,Episode 1: Melon buffet. (28 July 2015),Live: Pop on a onesie inside a pop-up tent.,Roisin Conaty,1
23,Series 1,Episode 1: Melon buffet. (28 July 2015),Live: Pop on a onesie inside a pop-up tent.,Romesh Ranganathan,2
24,Series 1,Episode 1: Melon buffet. (28 July 2015),Live: Pop on a onesie inside a pop-up tent.,Tim Key,5
25,Series 1,Episode 1: Melon buffet. (28 July 2015),Find Alex.,Frank Skinner,1
26,Series 1,Episode 1: Melon buffet. (28 July 2015),Find Alex.,Josh Widdicombe,0
27,Series 1,Episode 1: Melon buffet. (28 July 2015),Find Alex.,Roisin Conaty,0
28,Series 1,Episode 1: Melon buffet. (28 July 2015),Find Alex.,Romesh Ranganathan,0
29,Series 1,Episode 1: Melon buffet. (28 July 2015),Find Alex.,Tim Key,0
30,Series 1,Episode 2: The pie whisperer. (4 August 2015),Prize: Most impressive item.,Frank Skinner,4
31,Series 1,Episode 2: The pie whisperer. (4 August 2015),Prize: Most impressive item.,Josh Widdicombe,2
32,Series 1,Episode 2: The pie whisperer. (4 August 2015),Prize: Most impressive item.,Roisin Conaty,3
33,Series 1,Episode 2: The pie whisperer. (4 August 2015),Prize: Most impressive item.,Romesh Ranganathan,1
34,Series 1,Episode 2: The pie whisperer. (4 August 2015),Prize: Most impressive item.,Tim Key,5
35,Series 1,Episode 2: The pie whisperer. (4 August 2015),High-five a 55-year-old.,Frank Skinner,2
36,Series 1,Episode 2: The pie whisperer. (4 August 2015),High-five a 55-year-old.,Josh Widdicombe,5
37,Series 1,Episode 2: The pie whisperer. (4 August 2015),High-five a 55-year-old.,Roisin Conaty,4
38,Series 1,Episode 2: The pie whisperer. (4 August 2015),High-five a 55-year-old.,Romesh Ranganathan,1
39,Series 1,Episode 2: The pie whisperer. (4 August 2015),High-five a 55-year-old.,Tim Key,3
40,Series 1,Episode 2: The pie whisperer. (4 August 2015),Identify the contents of pies without breaching the pastry.,Frank Skinner,1
41,Series 1,Episode 2: The pie whisperer. (4 August 2015),Identify the contents of pies without breaching the pastry.,Josh Widdicombe,2
42,Series 1,Episode 2: The pie whisperer. (4 August 2015),Identify the contents of pies without breaching the pastry.,Roisin Conaty,4
43,Series 1,Episode 2: The pie whisperer. (4 August 2015),Identify the contents of pies without breaching the pastry.,Romesh Ranganathan,3
44,Series 1,Episode 2: The pie whisperer. (4 August 2015),Identify the contents of pies without breaching the pastry.,Tim Key,5
45,Series 1,Episode 2: The pie whisperer. (4 August 2015),Do something that will look impressive in reverse.,Frank Skinner,1
46,Series 1,Episode 2: The pie whisperer. (4 August 2015),Do something that will look impressive in reverse.,Josh Widdicombe,4
47,Series 1,Episode 2: The pie whisperer. (4 August 2015),Do something that will look impressive in reverse.,Roisin Conaty,5
48,Series 1,Episode 2: The pie whisperer. (4 August 2015),Do something that will look impressive in reverse.,Romesh Ranganathan,5
49,Series 1,Episode 2: The pie whisperer. (4 August 2015),Do something that will look impressive in reverse.,Tim Key,3
50,Series 1,Episode 2: The pie whisperer. (4 August 2015),"Live: Crack the code, unshackle yourself and sprint 1 metre.",Frank Skinner,1
51,Series 1,Episode 2: The pie whisperer. (4 August 2015),"Live: Crack the code, unshackle yourself and sprint 1 metre.",Josh Widdicombe,3
52,Series 1,Episode 2: The pie whisperer. (4 August 2015),"Live: Crack the code, unshackle yourself and sprint 1 metre.",Roisin Conaty,5
53,Series 1,Episode 2: The pie whisperer. (4 August 2015),"Live: Crack the code, unshackle yourself and sprint 1 metre.",Romesh Ranganathan,4
54,Series 1,Episode 2: The pie whisperer. (4 August 2015),"Live: Crack the code, unshackle yourself and sprint 1 metre.",Tim Key,2
55,Series 1,Episode 3: The poet and the egg. (11 August 2015),Prize: Most meaningful item,Frank Skinner,4
56,Series 1,Episode 3: The poet and the egg. (11 August 2015),Prize: Most meaningful item,Josh Widdicombe,2
57,Series 1,Episode 3: The poet and the egg. (11 August 2015),Prize: Most meaningful item,Roisin Conaty,1
58,Series 1,Episode 3: The poet and the egg. (11 August 2015),Prize: Most meaningful item,Romesh Ranganathan,5
59,Series 1,Episode 3: The poet and the egg. (11 August 2015),Prize: Most meaningful item,Tim Key,3
60,Series 1,Episode 3: The poet and the egg. (11 August 2015),Throw a tea bag into a mug from the furthest distance away.,Frank Skinner,4
61,Series 1,Episode 3: The poet and the egg. (11 August 2015),Throw a tea bag into a mug from the furthest distance away.,Josh Widdicombe,0
62,Series 1,Episode 3: The poet and the egg. (11 August 2015),Throw a tea bag into a mug from the furthest distance away.,Roisin Conaty,2
63,Series 1,Episode 3: The poet and the egg. (11 August 2015),Throw a tea bag into a mug from the furthest distance away.,Romesh Ranganathan,3
64,Series 1,Episode 3: The poet and the egg. (11 August 2015),Throw a tea bag into a mug from the furthest distance away.,Tim Key,5
65,Series 1,Episode 3: The poet and the egg. (11 August 2015),"Using this GPS device to track your route, create the best image for the Taskmaster",Frank Skinner,2
66,Series 1,Episode 3: The poet and the egg. (11 August 2015),"Using this GPS device to track your route, create the best image for the Taskmaster",Josh Widdicombe,5
67,Series 1,Episode 3: The poet and the egg. (11 August 2015),"Using this GPS device to track your route, create the best image for the Taskmaster",Roisin Conaty,1
68,Series 1,Episode 3: The poet and the egg. (11 August 2015),"Using this GPS device to track your route, create the best image for the Taskmaster",Romesh Ranganathan,4
69,Series 1,Episode 3: The poet and the egg. (11 August 2015),"Using this GPS device to track your route, create the best image for the Taskmaster",Tim Key,3
70,Series 1,Episode 3: The poet and the egg. (11 August 2015),Buy the best present for the Taskmaster with £20.,Frank Skinner,3
71,Series 1,Episode 3: The poet and the egg. (11 August 2015),Buy the best present for the Taskmaster with £20.,Josh Widdicombe,5
72,Series 1,Episode 3: The poet and the egg. (11 August 2015),Buy the best present for the Taskmaster with £20.,Roisin Conaty,4
73,Series 1,Episode 3: The poet and the egg. (11 August 2015),Buy the best present for the Taskmaster with £20.,Romesh Ranganathan,2
74,Series 1,Episode 3: The poet and the egg. (11 August 2015),Buy the best present for the Taskmaster with £20.,Tim Key,1
75,Series 1,Episode 3: The poet and the egg. (11 August 2015),Get this egg as high as possible without breaking it.,Frank Skinner,0
76,Series 1,Episode 3: The poet and the egg. (11 August 2015),Get this egg as high as possible without breaking it.,Josh Widdicombe,5
77,Series 1,Episode 3: The poet and the egg. (11 August 2015),Get this egg as high as possible without breaking it.,Roisin Conaty,0
78,Series 1,Episode 3: The poet and the egg. (11 August 2015),Get this egg as high as possible without breaking it.,Romesh Ranganathan,4
79,Series 1,Episode 3: The poet and the egg. (11 August 2015),Get this egg as high as possible without breaking it.,Tim Key,0
80,Series 1,Episode 3: The poet and the egg. (11 August 2015),Live: Stand up after 100 seconds.,Frank Skinner,2
81,Series 1,Episode 3: The poet and the egg. (11 August 2015),Live: Stand up after 100 seconds.,Josh Widdicombe,5
82,Series 1,Episode 3: The poet and the egg. (11 August 2015),Live: Stand up after 100 seconds.,Roisin Conaty,1
83,Series 1,Episode 3: The poet and the egg. (11 August 2015),Live: Stand up after 100 seconds.,Romesh Ranganathan,4
84,Series 1,Episode 3: The poet and the egg. (11 August 2015),Live: Stand up after 100 seconds.,Tim Key,4
85,Series 1,Episode 3: The poet and the egg. (11 August 2015),What is Frank Skinner's age in minutes?,Frank Skinner,0
86,Series 1,Episode 3: The poet and the egg. (11 August 2015),What is Frank Skinner's age in minutes?,Josh Widdicombe,1
87,Series 1,Episode 3: The poet and the egg. (11 August 2015),What is Frank Skinner's age in minutes?,Roisin Conaty,0
88,Series 1,Episode 3: The poet and the egg. (11 August 2015),What is Frank Skinner's age in minutes?,Romesh Ranganathan,0
89,Series 1,Episode 3: The poet and the egg. (11 August 2015),What is Frank Skinner's age in minutes?,Tim Key,0
90,Series 1,Episode 4: Down an octave. (18 August 2015),Prize: Most beautiful item.,Frank Skinner,3
91,Series 1,Episode 4: Down an octave. (18 August 2015),Prize: Most beautiful item.,Josh Widdicombe,4
92,Series 1,Episode 4: Down an octave. (18 August 2015),Prize: Most beautiful item.,Roisin Conaty,2
93,Series 1,Episode 4: Down an octave. (18 August 2015),Prize: Most beautiful item.,Romesh Ranganathan,1
94,Series 1,Episode 4: Down an octave. (18 August 2015),Prize: Most beautiful item.,Tim Key,5
95,Series 1,Episode 4: Down an octave. (18 August 2015),Make this ice block disappear as fast as possible.,Frank Skinner,4
96,Series 1,Episode 4: Down an octave. (18 August 2015),Make this ice block disappear as fast as possible.,Josh Widdicombe,5
97,Series 1,Episode 4: Down an octave. (18 August 2015),Make this ice block disappear as fast as possible.,Roisin Conaty,3
98,Series 1,Episode 4: Down an octave. (18 August 2015),Make this ice block disappear as fast as possible.,Romesh Ranganathan,2
99,Series 1,Episode 4: Down an octave. (18 August 2015),Make this ice block disappear as fast as possible.,Tim Key,1
100,Series 1,Episode 4: Down an octave. (18 August 2015),Team: Get to 11 points as fast as possible.,Frank Skinner,1
101,Series 1,Episode 4: Down an octave. (18 August 2015),Team: Get to 11 points as fast as possible.,Josh Widdicombe,2
102,Series 1,Episode 4: Down an octave. (18 August 2015),Team: Get to 11 points as fast as possible.,Roisin Conaty,2
103,Series 1,Episode 4: Down an octave. (18 August 2015),Team: Get to 11 points as fast as possible.,Romesh Ranganathan,2
104,Series 1,Episode 4: Down an octave. (18 August 2015),Team: Get to 11 points as fast as possible.,Tim Key,1
105,Series 1,Episode 4: Down an octave. (18 August 2015),Fill an egg cup with as many tears as possible.,Frank Skinner,5
106,Series 1,Episode 4: Down an octave. (18 August 2015),Fill an egg cup with as many tears as possible.,Josh Widdicombe,3
107,Series 1,Episode 4: Down an octave. (18 August 2015),Fill an egg cup with as many tears as possible.,Roisin Conaty,1
108,Series 1,Episode 4: Down an octave. (18 August 2015),Fill an egg cup with as many tears as possible.,Romesh Ranganathan,4
109,Series 1,Episode 4: Down an octave. (18 August 2015),Fill an egg cup with as many tears as possible.,Tim Key,1
110,Series 1,Episode 4: Down an octave. (18 August 2015),Count the beans in the baked bean tin.,Frank Skinner,0
111,Series 1,Episode 4: Down an octave. (18 August 2015),Count the beans in the baked bean tin.,Josh Widdicombe,1
