,season,task_episode,task_description,task_contestant,task_score
0,Series 9,Episode 1: Join our cult. (4 September 2019),Prize: Most stressful thing.,David Baddiel,4
1,Series 9,Episode 1: Join our cult. (4 September 2019),Prize: Most stressful thing.,Ed Gamble,2
2,Series 9,Episode 1: Join our cult. (4 September 2019),Prize: Most stressful thing.,Jo Brand,3
3,Series 9,Episode 1: Join our cult. (4 September 2019),Prize: Most stressful thing.,Katy Wix,5
4,Series 9,Episode 1: Join our cult. (4 September 2019),Prize: Most stressful thing.,Rose Matafeo,2
5,Series 9,Episode 1: Join our cult. (4 September 2019),Hide three aubergines from Alex in this room.,David Baddiel,1
6,Series 9,Episode 1: Join our cult. (4 September 2019),Hide three aubergines from Alex in this room.,Ed Gamble,5
7,Series 9,Episode 1: Join our cult. (4 September 2019),Hide three aubergines from Alex in this room.,Jo Brand,2
8,Series 9,Episode 1: Join our cult. (4 September 2019),Hide three aubergines from Alex in this room.,Katy Wix,3
9,Series 9,Episode 1: Join our cult. (4 September 2019),Hide three aubergines from Alex in this room.,Rose Matafeo,4
10,Series 9,Episode 1: Join our cult. (4 September 2019),Arrange the lollies in rainbow order while blindfolded. You may only take off the blindfold if you find the dodo statue. You may only accuse one statue of being a dodo.,David Baddiel,3
11,Series 9,Episode 1: Join our cult. (4 September 2019),Arrange the lollies in rainbow order while blindfolded. You may only take off the blindfold if you find the dodo statue. You may only accuse one statue of being a dodo.,Ed Gamble,5
12,Series 9,Episode 1: Join our cult. (4 September 2019),Arrange the lollies in rainbow order while blindfolded. You may only take off the blindfold if you find the dodo statue. You may only accuse one statue of being a dodo.,Jo Brand,3
13,Series 9,Episode 1: Join our cult. (4 September 2019),Arrange the lollies in rainbow order while blindfolded. You may only take off the blindfold if you find the dodo statue. You may only accuse one statue of being a dodo.,Katy Wix,1
14,Series 9,Episode 1: Join our cult. (4 September 2019),Arrange the lollies in rainbow order while blindfolded. You may only take off the blindfold if you find the dodo statue. You may only accuse one statue of being a dodo.,Rose Matafeo,5
15,Series 9,Episode 1: Join our cult. (4 September 2019),Make the most dramatic entrance.,David Baddiel,1
16,Series 9,Episode 1: Join our cult. (4 September 2019),Make the most dramatic entrance.,Ed Gamble,4
17,Series 9,Episode 1: Join our cult. (4 September 2019),Make the most dramatic entrance.,Jo Brand,4
18,Series 9,Episode 1: Join our cult. (4 September 2019),Make the most dramatic entrance.,Katy Wix,3
19,Series 9,Episode 1: Join our cult. (4 September 2019),Make the most dramatic entrance.,Rose Matafeo,5
20,Series 9,Episode 1: Join our cult. (4 September 2019),Live: Draw the second longest snake on the toilet paper. It must be at least half an inch wide at all points. It must be rolled up at the end.,David Baddiel,5
21,Series 9,Episode 1: Join our cult. (4 September 2019),Live: Draw the second longest snake on the toilet paper. It must be at least half an inch wide at all points. It must be rolled up at the end.,Ed Gamble,0
22,Series 9,Episode 1: Join our cult. (4 September 2019),Live: Draw the second longest snake on the toilet paper. It must be at least half an inch wide at all points. It must be rolled up at the end.,Jo Brand,0
23,Series 9,Episode 1: Join our cult. (4 September 2019),Live: Draw the second longest snake on the toilet paper. It must be at least half an inch wide at all points. It must be rolled up at the end.,Katy Wix,0
24,Series 9,Episode 1: Join our cult. (4 September 2019),Live: Draw the second longest snake on the toilet paper. It must be at least half an inch wide at all points. It must be rolled up at the end.,Rose Matafeo,0
25,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Prize: Best bag.,David Baddiel,1
26,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Prize: Best bag.,Ed Gamble,2
27,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Prize: Best bag.,Jo Brand,3
28,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Prize: Best bag.,Katy Wix,4
29,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Prize: Best bag.,Rose Matafeo,5
30,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Correctly identify which bin Alex is in. You have one guess. You may not open a bin unless authorised. You may wheel one bin three metres. You may gently shake one bin. You may strike one bin with a frying pan. You may push one bin over. You may listen to one bin with a stethoscope. You may avert your eyes and drop one thing into one bin. You may phone Alex from the phone box.,David Baddiel,4
31,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Correctly identify which bin Alex is in. You have one guess. You may not open a bin unless authorised. You may wheel one bin three metres. You may gently shake one bin. You may strike one bin with a frying pan. You may push one bin over. You may listen to one bin with a stethoscope. You may avert your eyes and drop one thing into one bin. You may phone Alex from the phone box.,Ed Gamble,5
32,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Correctly identify which bin Alex is in. You have one guess. You may not open a bin unless authorised. You may wheel one bin three metres. You may gently shake one bin. You may strike one bin with a frying pan. You may push one bin over. You may listen to one bin with a stethoscope. You may avert your eyes and drop one thing into one bin. You may phone Alex from the phone box.,Jo Brand,0
33,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Correctly identify which bin Alex is in. You have one guess. You may not open a bin unless authorised. You may wheel one bin three metres. You may gently shake one bin. You may strike one bin with a frying pan. You may push one bin over. You may listen to one bin with a stethoscope. You may avert your eyes and drop one thing into one bin. You may phone Alex from the phone box.,Katy Wix,0
34,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Correctly identify which bin Alex is in. You have one guess. You may not open a bin unless authorised. You may wheel one bin three metres. You may gently shake one bin. You may strike one bin with a frying pan. You may push one bin over. You may listen to one bin with a stethoscope. You may avert your eyes and drop one thing into one bin. You may phone Alex from the phone box.,Rose Matafeo,0
35,Series 9,Episode 2: Butter in the microwave. (11 September 2019),"Draw a portrait of the Taskmaster using 16 A1 pages. You may not remove the A1 pages from the flipchart during your drawing. After the task, the A1 pages will be laid out in the pattern shown on the front page. You may only draw on the flipchart paper.",David Baddiel,1
36,Series 9,Episode 2: Butter in the microwave. (11 September 2019),"Draw a portrait of the Taskmaster using 16 A1 pages. You may not remove the A1 pages from the flipchart during your drawing. After the task, the A1 pages will be laid out in the pattern shown on the front page. You may only draw on the flipchart paper.",Ed Gamble,3
37,Series 9,Episode 2: Butter in the microwave. (11 September 2019),"Draw a portrait of the Taskmaster using 16 A1 pages. You may not remove the A1 pages from the flipchart during your drawing. After the task, the A1 pages will be laid out in the pattern shown on the front page. You may only draw on the flipchart paper.",Jo Brand,4
38,Series 9,Episode 2: Butter in the microwave. (11 September 2019),"Draw a portrait of the Taskmaster using 16 A1 pages. You may not remove the A1 pages from the flipchart during your drawing. After the task, the A1 pages will be laid out in the pattern shown on the front page. You may only draw on the flipchart paper.",Katy Wix,5
39,Series 9,Episode 2: Butter in the microwave. (11 September 2019),"Draw a portrait of the Taskmaster using 16 A1 pages. You may not remove the A1 pages from the flipchart during your drawing. After the task, the A1 pages will be laid out in the pattern shown on the front page. You may only draw on the flipchart paper.",Rose Matafeo,3
40,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Team: Complete the adventure (by saying the word demeaning). You may only open one task after completing the previous. You must remain together.,David Baddiel,3
41,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Team: Complete the adventure (by saying the word demeaning). You may only open one task after completing the previous. You must remain together.,Ed Gamble,5
42,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Team: Complete the adventure (by saying the word demeaning). You may only open one task after completing the previous. You must remain together.,Jo Brand,3
43,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Team: Complete the adventure (by saying the word demeaning). You may only open one task after completing the previous. You must remain together.,Katy Wix,5
44,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Team: Complete the adventure (by saying the word demeaning). You may only open one task after completing the previous. You must remain together.,Rose Matafeo,5
45,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Live: Make a lovely little ball arrangement.,David Baddiel,1
46,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Live: Make a lovely little ball arrangement.,Ed Gamble,4
47,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Live: Make a lovely little ball arrangement.,Jo Brand,5
48,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Live: Make a lovely little ball arrangement.,Katy Wix,4
49,Series 9,Episode 2: Butter in the microwave. (11 September 2019),Live: Make a lovely little ball arrangement.,Rose Matafeo,2
50,Series 9,Episode 3: Five miles per day. (18 September 2019),Prize: Weirdest wooden thing.,David Baddiel,5
51,Series 9,Episode 3: Five miles per day. (18 September 2019),Prize: Weirdest wooden thing.,Ed Gamble,3
