,season,task_episode,task_description,task_contestant,task_score
0,Series 4,Episode 1: A fat bald white man. (25 April 2017),Prize: Most interesting autograph on the most interesting vegetable.,Hugh Dennis,1
1,Series 4,Episode 1: A fat bald white man. (25 April 2017),Prize: Most interesting autograph on the most interesting vegetable.,Joe Lycett,2
2,Series 4,Episode 1: A fat bald white man. (25 April 2017),Prize: Most interesting autograph on the most interesting vegetable.,Lolly Adefope,3
3,Series 4,Episode 1: A fat bald white man. (25 April 2017),Prize: Most interesting autograph on the most interesting vegetable.,Mel Giedroyc,4
4,Series 4,Episode 1: A fat bald white man. (25 April 2017),Prize: Most interesting autograph on the most interesting vegetable.,Noel Fielding,5
5,Series 4,Episode 1: A fat bald white man. (25 April 2017),Beautifully destroy a cake.,Hugh Dennis,1
6,Series 4,Episode 1: A fat bald white man. (25 April 2017),Beautifully destroy a cake.,Joe Lycett,5
7,Series 4,Episode 1: A fat bald white man. (25 April 2017),Beautifully destroy a cake.,Lolly Adefope,2
8,Series 4,Episode 1: A fat bald white man. (25 April 2017),Beautifully destroy a cake.,Mel Giedroyc,3
9,Series 4,Episode 1: A fat bald white man. (25 April 2017),Beautifully destroy a cake.,Noel Fielding,4
10,Series 4,Episode 1: A fat bald white man. (25 April 2017),Create the best caricature of the person on the other side of the curtain.,Hugh Dennis,1
11,Series 4,Episode 1: A fat bald white man. (25 April 2017),Create the best caricature of the person on the other side of the curtain.,Joe Lycett,4
12,Series 4,Episode 1: A fat bald white man. (25 April 2017),Create the best caricature of the person on the other side of the curtain.,Lolly Adefope,3
13,Series 4,Episode 1: A fat bald white man. (25 April 2017),Create the best caricature of the person on the other side of the curtain.,Mel Giedroyc,2
14,Series 4,Episode 1: A fat bald white man. (25 April 2017),Create the best caricature of the person on the other side of the curtain.,Noel Fielding,5
15,Series 4,Episode 1: A fat bald white man. (25 April 2017),Fell all the rubber ducks.,Hugh Dennis,5
16,Series 4,Episode 1: A fat bald white man. (25 April 2017),Fell all the rubber ducks.,Joe Lycett,3
17,Series 4,Episode 1: A fat bald white man. (25 April 2017),Fell all the rubber ducks.,Lolly Adefope,4
18,Series 4,Episode 1: A fat bald white man. (25 April 2017),Fell all the rubber ducks.,Mel Giedroyc,1
19,Series 4,Episode 1: A fat bald white man. (25 April 2017),Fell all the rubber ducks.,Noel Fielding,2
20,Series 4,Episode 1: A fat bald white man. (25 April 2017),Live: Make the most juice using certain items and fruit.,Hugh Dennis,4
21,Series 4,Episode 1: A fat bald white man. (25 April 2017),Live: Make the most juice using certain items and fruit.,Joe Lycett,3
22,Series 4,Episode 1: A fat bald white man. (25 April 2017),Live: Make the most juice using certain items and fruit.,Lolly Adefope,1
23,Series 4,Episode 1: A fat bald white man. (25 April 2017),Live: Make the most juice using certain items and fruit.,Mel Giedroyc,5
24,Series 4,Episode 1: A fat bald white man. (25 April 2017),Live: Make the most juice using certain items and fruit.,Noel Fielding,2
25,Series 4,Episode 2: Look at me. (2 May 2017),Prize: Most boastful item.,Hugh Dennis,1
