,season,task_episode,task_description,task_contestant,task_score
0,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Prize: Most flamboyant clock.,Al Murray,4
1,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Prize: Most flamboyant clock.,Dave Gorman,3
2,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Prize: Most flamboyant clock.,Paul Chowdhry,1
3,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Prize: Most flamboyant clock.,Rob Beckett,2
4,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Prize: Most flamboyant clock.,Sara Pascoe,5
5,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Get to a microwave in as few steps as possible.,Al Murray,4
6,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Get to a microwave in as few steps as possible.,Dave Gorman,2
7,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Get to a microwave in as few steps as possible.,Paul Chowdhry,0
8,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Get to a microwave in as few steps as possible.,Rob Beckett,5
9,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Get to a microwave in as few steps as possible.,Sara Pascoe,3
10,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Propel this pea the furthest distance and land on a red carpet.,Al Murray,5
11,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Propel this pea the furthest distance and land on a red carpet.,Dave Gorman,0
12,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Propel this pea the furthest distance and land on a red carpet.,Paul Chowdhry,2
13,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Propel this pea the furthest distance and land on a red carpet.,Rob Beckett,4
14,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Propel this pea the furthest distance and land on a red carpet.,Sara Pascoe,3
15,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Make the best snowman.,Al Murray,3
16,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Make the best snowman.,Dave Gorman,5
17,Series 3,Episode 1: A pea in a haystack. (4 October 2016),Make the best snowman.,Paul Chowdhry,1
