,season,task_episode,task_description,task_contestant,task_score
0,Series 11,Episode 1: It's not your fault. (18 March 2021),"Prize: Best thing you can carry, but only just.",Charlotte Ritchie,1
1,Series 11,Episode 1: It's not your fault. (18 March 2021),"Prize: Best thing you can carry, but only just.",Jamali Maddix,2
2,Series 11,Episode 1: It's not your fault. (18 March 2021),"Prize: Best thing you can carry, but only just.",Lee Mack,4
3,Series 11,Episode 1: It's not your fault. (18 March 2021),"Prize: Best thing you can carry, but only just.",Mike Wozniak,5
4,Series 11,Episode 1: It's not your fault. (18 March 2021),"Prize: Best thing you can carry, but only just.",Sarah Kendall,3
5,Series 11,Episode 1: It's not your fault. (18 March 2021),Do the most impressive thing under the table with one hand. You must wave with your other hand and look at the camera throughout.,Charlotte Ritchie,2
6,Series 11,Episode 1: It's not your fault. (18 March 2021),Do the most impressive thing under the table with one hand. You must wave with your other hand and look at the camera throughout.,Jamali Maddix,3 1
7,Series 11,Episode 1: It's not your fault. (18 March 2021),Do the most impressive thing under the table with one hand. You must wave with your other hand and look at the camera throughout.,Lee Mack,3
8,Series 11,Episode 1: It's not your fault. (18 March 2021),Do the most impressive thing under the table with one hand. You must wave with your other hand and look at the camera throughout.,Mike Wozniak,5
9,Series 11,Episode 1: It's not your fault. (18 March 2021),Do the most impressive thing under the table with one hand. You must wave with your other hand and look at the camera throughout.,Sarah Kendall,4
10,Series 11,Episode 1: It's not your fault. (18 March 2021),Catch the rat in the most ingenious way. You must be at least 3 metres from the rat when you catch it. The rat will run across the red green in 30 minutes.,Charlotte Ritchie,0
11,Series 11,Episode 1: It's not your fault. (18 March 2021),Catch the rat in the most ingenious way. You must be at least 3 metres from the rat when you catch it. The rat will run across the red green in 30 minutes.,Jamali Maddix,1
12,Series 11,Episode 1: It's not your fault. (18 March 2021),Catch the rat in the most ingenious way. You must be at least 3 metres from the rat when you catch it. The rat will run across the red green in 30 minutes.,Lee Mack,5
