,season,task_episode,task_description,task_contestant,task_score
0,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),"Prize: The thing that if you put it in a bag and sat on it, it would feel the nicest.",Alan Davies,4
1,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),"Prize: The thing that if you put it in a bag and sat on it, it would feel the nicest.",Desiree Burch,5
2,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),"Prize: The thing that if you put it in a bag and sat on it, it would feel the nicest.",Guz Khan,1
3,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),"Prize: The thing that if you put it in a bag and sat on it, it would feel the nicest.",Morgana Robinson,2
4,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),"Prize: The thing that if you put it in a bag and sat on it, it would feel the nicest.",Victoria Coren Mitchell,3
5,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),"Strike Alex with a ball. Alex may not run, hide or leave the Taskmaster grounds. Fastest wins.",Alan Davies,1
6,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),"Strike Alex with a ball. Alex may not run, hide or leave the Taskmaster grounds. Fastest wins.",Desiree Burch,4
7,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),"Strike Alex with a ball. Alex may not run, hide or leave the Taskmaster grounds. Fastest wins.",Guz Khan,2
8,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),"Strike Alex with a ball. Alex may not run, hide or leave the Taskmaster grounds. Fastest wins.",Morgana Robinson,5
9,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),"Strike Alex with a ball. Alex may not run, hide or leave the Taskmaster grounds. Fastest wins.",Victoria Coren Mitchell,3
10,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),Paint the most flattering picture of the Taskmaster in action on the canvas in the lab. The canvas will either be six inches or six feet above you. You must lie flat on your back on the creeper at all times. You must tell Alex if you want the canvas to be six inches or six feet above you within the next ten seconds.,Alan Davies,4
11,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),Paint the most flattering picture of the Taskmaster in action on the canvas in the lab. The canvas will either be six inches or six feet above you. You must lie flat on your back on the creeper at all times. You must tell Alex if you want the canvas to be six inches or six feet above you within the next ten seconds.,Desiree Burch,3
12,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),Paint the most flattering picture of the Taskmaster in action on the canvas in the lab. The canvas will either be six inches or six feet above you. You must lie flat on your back on the creeper at all times. You must tell Alex if you want the canvas to be six inches or six feet above you within the next ten seconds.,Guz Khan,5
13,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),Paint the most flattering picture of the Taskmaster in action on the canvas in the lab. The canvas will either be six inches or six feet above you. You must lie flat on your back on the creeper at all times. You must tell Alex if you want the canvas to be six inches or six feet above you within the next ten seconds.,Morgana Robinson,2
14,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),Paint the most flattering picture of the Taskmaster in action on the canvas in the lab. The canvas will either be six inches or six feet above you. You must lie flat on your back on the creeper at all times. You must tell Alex if you want the canvas to be six inches or six feet above you within the next ten seconds.,Victoria Coren Mitchell,1
15,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),Pop the balloon. You must stay behind the rope at all times. You must not move the rope. You may buy the tools you need with time. Fastest wins.,Alan Davies,5
16,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),Pop the balloon. You must stay behind the rope at all times. You must not move the rope. You may buy the tools you need with time. Fastest wins.,Desiree Burch,1
17,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),Pop the balloon. You must stay behind the rope at all times. You must not move the rope. You may buy the tools you need with time. Fastest wins.,Guz Khan,3
18,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),Pop the balloon. You must stay behind the rope at all times. You must not move the rope. You may buy the tools you need with time. Fastest wins.,Morgana Robinson,2
19,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),Pop the balloon. You must stay behind the rope at all times. You must not move the rope. You may buy the tools you need with time. Fastest wins.,Victoria Coren Mitchell,4
20,Series 12,Episode 1: An imbalance in the poppability. (23 September 2021),"Live: Write down a cool hobby, a fun animal and a famous person.",Alan Davies,1
